17,AI Mentor,By clementpoiret,428,"Meet your open source AI mentor in Obsidian. Ask questions, get answers, and learn new things.",https://github.com/clementpoiret/ai-mentor
18,GPT-LiteInquirer,By ittuann,497,"Experience OpenAI ChatGPT assistance directly within Obsidian, drafting content without interrupting your creative flow.",https://github.com/ittuann/obsidian-gpt-liteinquirer-plugin
19,text2anki-openai,By Mani Batra,182,This is an obsidian plugin that uses OpenAI to generate flashcards from text and add them to Anki.,https://github.com/manibatra/obsidian-text2anki-openai
20,Crossbow,By shoedler,898,Find backlinks in your notes,https://github.com/shoedler/crossbow
21,Links,By MiiKey,1291,Manipulate links,https://github.com/mii-key/obsidian-links
22,Smart Rename,By mnaoumov,169,Renames notes keeping previous title in existing links,https://github.com/mnaoumov/obsidian-smart-rename
23,Link Range,By Ryan Mellmer,555,This Obsidian plugin brings ranged wiki-link support to Obsidian.,https://github.com/rmellmer/obsidian-link-range
24,Pending notes,By Ulises Santana,1517,Search links without notes in your vault.,https://github.com/ulisesantana/obsidian-pending-notes
25,Obsidian42 - Text Transporter,By TfTHacker,7442,Advanced text tools for working with text in your vault.,https://github.com/TfTHacker/obsidian42-text-transporter
26,Quick snippets and navigation,By @aciq,1195,"Keyboard navigation up/down for headings
- Configurable default code block and callout
- Copy code block via keyboard shortcut.",https://github.com/ieviev/obsidian-keyboard-shortcuts
27,Templater,By SilentVoid,525926,Create and use templates.,https://github.com/SilentVoid13/Templater
28,File Diff,By Till Friebe,526,View the differences between two files with merge options.,https://github.com/friebetill/obsidian-file-diff
29,Aosr,By linanwx,2420,Another Obsidian spaced repetition. It uses flashcards to help review and remember knowledge.,https://github.com/linanwx/aosr
30,Incremental Writing,By Jamesb | Experimental Learning,5799,Incrementally review notes and blocks over time.,https://github.com/bjsi/incremental-writing
31,Spaced Repetition,By Stephen Mwangi,99281,Fight the forgetting curve by reviewing flashcards & entire notes.,https://github.com/st3v3nmw/obsidian-spaced-repetition
32,Inbox,By Zachatoo,506,"Show in app notification on startup if there is data to process in the ""inbox"" note.",https://github.com/Zachatoo/obsidian-inbox
33,Reminder,By uphy,74735,Manage Markdown TODOs with reminder.,https://github.com/uphy/obsidian-reminder
34,Repeat,By Andre Perunicic,2118,Review notes using periodic or spaced repetition.,https://github.com/prncc/obsidian-repeat-plugin
35,Review,By ryanjamurphy,37337,"Add a link to the current note to a daily note on a future date (or a past date, you time traveller).",https://github.com/ryanjamurphy/review-obsidian
36,Tracker,By pyrochlore,62286,Tracks occurrences and numbers in your notes.,https://github.com/pyrochlore/obsidian-tracker
37,Mood Tracker,By dartungar,183,Track your moods & emotions easily. Visualize tracked history and browse the past entries.,https://github.com/dartungar/obsidian-mood-tracker
38,Rewarder,By Gustav Gnosspelius,1448,"Gives you rewards for completing tasks/todos, highly configurable.",https://github.com/Gnopps/obsidian-rewarder
39,Argument Map with Argdown,By amdecker,2926,Allows you to write argdown code blocks and view the maps in Preview.,https://github.com/amdecker/obsidian-argdown-plugin
40,Enhancing Mindmap,By Mark,91957,This is a enhancing mindmap plugin for Obsidian. You can edit mindmap on Markdown.,https://github.com/MarkMindCkm/obsidian-enhancing-mindmap
41,Mind Map,By James Lynch,288246,Displays Markdown notes as mind maps using Markmap.,https://github.com/lynchjames/obsidian-mind-map
42,Obsidian Graphviz,By Feng Peng,3988,Render Graphviz diagrams.,https://github.com/QAMichaelPeng/obsidian-graphviz
43,PlantUML,By Johannes Theiner,36721,Generate PlantUML diagrams.,https://github.com/joethei/obsidian-plantuml
44,Mermaid Tools,By dartungar,15563,Improved Mermaid.js experience for Obsidian: visual toolbar with common elements & more.,https://github.com/dartungar/obsidian-mermaid
45,Mindmap Nextgen,By VeroCloud Pty Ltd (original by James Lynch),14861,Preview notes as Markmap mind maps.,https://github.com/verocloud/obsidian-mindmap-nextgen
46,Shell commands,By Jarkko Linnanvirta,20527,"Define system commands that you want to execute via command palette, hotkeys, URI links or automated events. E.g. open external applications or perform automated file modifications.",https://github.com/Taitava/obsidian-shellcommands
47,Code Emitter,By YISH,3095,"Allows code blocks to be executed interactively in a sandbox like Jupyter notebooks. Supported language Rust, Kotlin, Python, JavaScript, TypeScript, etc.",https://github.com/mokeyish/obsidian-code-emitter
48,Meld Build,By meld-cp,270,"Write and execute (sandboxed) JavaScript to render templates, query DataView and create dynamic notes.",https://github.com/meld-cp/obsidian-build
49,CustomJS,By Sam Lewis,9240,Reuse custom JavaScript across desktop and mobile.,https://github.com/saml-dev/obsidian-custom-js
50,Execute Code,By twibiral,25520,Execute code snippets within a note.,https://github.com/twibiral/obsidian-execute-code
51,Jupyter,By tillahoffmann,18701,Run Python code in Obsidian using Jupyter.,https://github.com/tillahoffmann/obsidian-jupyter
52,Actions URI,By Carlo Zottmann,4726,"Adds additional `x-callback-url` endpoints to the app for common actions — it's a clean, super-charged addition to Obsidian URI.",https://github.com/czottmann/obsidian-actions-uri
53,Cron,By Callum Loh,277,Simple CRON / scheduler plugin to regularly run user scripts or Obsidian commands.,https://github.com/cdloh/obsidian-cron
54,Script Launcher,By Alessandro Ruggiero,3544,Launch scripts from the Obsidian app. You can add scripts shortcuts on your bottom bar and launch them with just one click!,https://github.com/AlessandroRuggiero/script-launcher
55,Dynamic Highlights,By nothingislost,9773,"Dynamically highlight text based on cursor selection or search query with full regex, mobile, and live preview support",https://github.com/nothingislost/obsidian-dynamic-highlights
56,Highlightr,By Chetachi,122806,A minimal and aesthetically pleasing highlighting menu that makes color-coded highlighting much easier with a configurable assortment of highlight colors.,https://github.com/chetachiezikeuzor/Highlightr-Plugin
57,Colored Text,By Erinc Ayaz,1913,Color the selected texts.,https://github.com/erincayaz/obsidian-colored-text
58,Super Simple Time Tracker,By Ellpeck,5632,Multi-purpose time trackers for your notes!,https://github.com/Ellpeck/ObsidianSimpleTimeTracker
59,Quick LaTeX for Obsidian,By joeyuping,62804,A simple plugin to simplify and speed up LaTeX math typing.,https://github.com/joeyuping/quick_latex_obsidian
60,Custom State for Task List,By Okami Wong,351,Add custom states to task list items.,https://github.com/OkamiWong/obsidian-custom-state-for-task-list
61,Open Plugin Settings,By Mara-Li,100,Create a command to open a specified plugin settings.,https://github.com/lisandra-dev/open-plugin-settings-commands
62,Ultimate Todoist Sync,By HeroBlackInk,574,This is the best Todoist task synchronization plugin for Obsidian so far.,https://github.com/HeroBlackInk/ultimate-todoist-sync-for-obsidian
63,Rapid Notes,By valteriomon,1124,Create and place notes quickly in specific folders based on predefined prefixes.,https://github.com/valteriomon/obsidian-rapid-notes
64,Bellboy,By Shaked Lokits,349,Opinionated file structure manager.,https://github.com/shakedlokits/obsidian-bellboy
65,Aggregator,By SErAphLi,601,"Helps you gather information from files, and make a summary in the file.",https://github.com/Seraphli/obsidian-aggregator
66,Dynamic Timetable,By L7Cy,537,Calculate the estimated time of completion from the estimated time of the task and dynamically create a timetable.,https://github.com/L7Cy/obsidian-dynamic-timetable
67,Prioritize,By EloiMusk,261,Prioritize your tasks and notes in Obsidian.,https://github.com/EloiMusk/obsidian-prio-plugin
68,Open files with commands,By Lost Paul,623,Create commands that only open one file at the time and that can be used with the commander plugin.,https://github.com/LostPaul/ob-open-files-with-commands
